Seccion,Color,Temas relevantes,Mensaje Emocional,Mujeres,Hombres,Impactos Recomendados diarios,Forecast
1538,Rojo,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1583,Azul,Colonia Segura/Apoyo a Madres/Certeza jurídica,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1415,Amarillo,Certeza Empresarial /Apoyos Empresas,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1431,Azul,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1453,Rojo,Colonia Segura/Apoyo a Madres/Certeza jurídica,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1535,Amarillo,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1397,Azul,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1413,Rojo,Certeza Empresarial /Apoyos Empresas,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1399,Azul,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1454,Amarillo,Certeza Empresarial /Apoyos Empresas,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1392,Rojo,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1444,Azul,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1468,Amarillo,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1530,Rojo,Certeza Empresarial /Apoyos Empresas,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1395,Azul,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1418,Amarillo,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1547,Rojo,Certeza Empresarial /Apoyos Empresas,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1402,Azul,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1526,Rojo,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1420,Amarillo,Certeza Empresarial /Apoyos Empresas,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1426,Azul,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1428,Rojo,Colonia Segura/Apoyo a Madres/Certeza jurídica,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1455,Rojo,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1432,Amarillo,Certeza Empresarial /Apoyos Empresas,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1408,Azul,Colonia Segura/Apoyo a Madres/Certeza jurídica,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1433,Rojo,Certeza Empresarial /Apoyos Empresas,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1447,Azul,Colonia Segura/Apoyo a Madres/Certeza jurídica,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1423,Amarillo,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1529,Azul,Colonia Segura/Apoyo a Madres/Certeza jurídica,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1427,Rojo,Certeza Empresarial /Apoyos Empresas,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1425,Rojo,Colonia Segura/Apoyo a Madres/Certeza jurídica,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1540,Azul,Certeza Empresarial /Apoyos Empresas,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1429,Amarillo,Colonia Segura/Apoyo a Madres/Certeza jurídica,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1398,Azul,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1393,Rojo,Colonia Segura/Apoyo a Madres/Certeza jurídica,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1405,Rojo,Certeza Empresarial /Apoyos Empresas,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1414,Azul,Colonia Segura/Apoyo a Madres/Certeza jurídica,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1442,Amarillo,Colonia Segura/Apoyo a Madres/Certeza jurídica,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1451,Azul,Certeza Empresarial /Apoyos Empresas,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1406,Rojo,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1391,Azul,Colonia Segura/Apoyo a Madres/Certeza jurídica,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1403,Rojo,Certeza Empresarial /Apoyos Empresas,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1412,Azul,Colonia Segura/Apoyo a Madres/Certeza jurídica,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1430,Rojo,Colonia Segura/Apoyo a Madres/Certeza jurídica,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1410,Azul,Colonia Segura/Apoyo a Madres/Certeza jurídica,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1446,Amarillo,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1449,Azul,Colonia Segura/Apoyo a Madres/Certeza jurídica,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1546,Rojo,Certeza Empresarial /Apoyos Empresas,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1407,Rojo,Colonia Segura/Apoyo a Madres/Certeza jurídica,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1445,Azul,Certeza Empresarial /Apoyos Empresas,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1456,Amarillo,Colonia Segura/Apoyo a Madres/Certeza jurídica,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
