Seccion,Color,Temas relevantes,Mensaje Emocional,Mujeres,Hombres,Impactos Recomendados diarios,Forecast
1602,Amarillo,Certeza Empresarial /Apoyos Empresas,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1588,Azul,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1605,Rojo,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1458,Amarillo,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1585,Rojo,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1544,Azul,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1575,Amarillo,Colonia Segura/Apoyo a Madres/Certeza jurídica,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1604,Rojo,Colonia Segura/Apoyo a Madres/Certeza jurídica,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1590,Azul,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1592,Rojo,Colonia Segura/Apoyo a Madres/Certeza jurídica,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
